5,behind,a,5,11
6,there?,a,5,11
1,what,b,1,11
2,happened,b,1,11
3,to,b,1,11
4,your,b,1,11
5,drink,b,1,11
6,of,b,1,11
7,"milk,",b,1,11
8,Thomas?,b,1,11
1,I,b,2,11
2,drank,b,2,11
3,it,b,2,11
4,all.,b,2,11
1,I,b,3,11
2,know,b,3,11
3,but,b,3,11
4,what,b,3,11
5,happened,b,3,11
6,to,b,3,11
7,the,b,3,11
8,bottle?,b,3,11
1,"okay,",b,4,11
2,I'll,b,4,11
3,get,b,4,11
4,it.,b,4,11
1,have,b,5,11
2,you,b,5,11
3,hidden,b,5,11
4,it,b,5,11
5,behind,b,5,11
6,there?,b,5,11
