trial,word_response_time,stimulus,display_order,target_word,word_in_utterance,utterance_in_exchange,speaker,is_test_utterance,kid,true_display_order,version,ac_rt,correct_key_code,pressed_key_code,passed_ac,subj,utterance
8,178,"floor,",5,NULL,5,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,200,did,5,NULL,6,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,231,he,5,NULL,7,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,203,slip,5,NULL,8,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,214,on,5,NULL,9,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,207,the,5,NULL,10,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,194,water,5,NULL,11,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,200,is,5,NULL,12,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,198,that,5,NULL,13,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,198,why,5,NULL,14,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,200,he,5,NULL,15,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,193,was,5,NULL,16,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,190,lying,5,NULL,17,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,173,on,5,NULL,18,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,188,the,5,NULL,19,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,193,floor?,5,NULL,20,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,724,yes.,5,NULL,1,4,CHILD,FALSE,Thomas,3,u,1416,left,left,TRUE,1,yes.
8,516,I,5,NULL,1,5,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,I see.
8,356,see.,5,NULL,2,5,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,I see.
5,696,we've,6,NA,1,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,241,got,6,NULL,2,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,227,to,6,NULL,3,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,222,practise,6,NULL,4,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,231,a,6,NULL,5,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,214,little,6,NULL,6,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,214,bit,6,NULL,7,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,197,of,6,NULL,8,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,182,"drawing,",6,NULL,9,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,190,Thomas.,6,NULL,10,1,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"we've got to practise a little bit of drawing, Thomas."
5,551,"no,",6,drawed,1,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,205,don't,6,drawed,2,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,191,want,6,drawed,3,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,186,to,6,drawed,4,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,169,because,6,drawed,5,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,205,I've,6,drawed,6,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,195,drawed,6,drawed,7,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,182,some,6,drawed,8,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,380,already.,6,drawed,9,2,CHILD,TRUE,Thomas,4,u,2414,left,left,TRUE,1,"no, don't want to because I've drawed some already."
5,588,no?,6,NULL,1,3,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,no?
5,484,at,6,NULL,1,4,CHILD,FALSE,Thomas,4,u,2414,left,left,TRUE,1,at school.
5,357,school.,6,NULL,2,4,CHILD,FALSE,Thomas,4,u,2414,left,left,TRUE,1,at school.
5,557,"well,",6,NULL,1,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
5,226,"love,",6,NULL,2,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
5,202,we're,6,NULL,3,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
5,209,not,6,NULL,4,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
5,217,at,6,NULL,5,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
5,196,school,6,NULL,6,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
5,309,now.,6,NULL,7,5,MOTHER,FALSE,Thomas,4,u,2414,left,left,TRUE,1,"well, love, we're not at school now."
4,674,I,7,NA,1,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,206,did,7,NULL,2,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,210,not,7,NULL,3,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,204,do,7,NULL,4,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,191,this,7,NULL,5,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,177,at,7,NULL,6,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,358,all.,7,NULL,7,1,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,I did not do this at all.
4,533,a,7,NULL,1,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,232,bit,7,NULL,2,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,206,of,7,NULL,3,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,173,"patience,",7,NULL,4,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,191,you,7,NULL,5,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,194,made,7,NULL,6,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,185,one.,7,NULL,7,2,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"a bit of patience, you made one."
4,615,"no,",7,made,1,3,CHILD,TRUE,Thomas,5,g,5336,right,right,TRUE,1,"no, I didn't, you made it."
4,182,I,7,made,2,3,CHILD,TRUE,Thomas,5,g,5336,right,right,TRUE,1,"no, I didn't, you made it."
4,165,"didn't,",7,made,3,3,CHILD,TRUE,Thomas,5,g,5336,right,right,TRUE,1,"no, I didn't, you made it."
4,178,you,7,made,4,3,CHILD,TRUE,Thomas,5,g,5336,right,right,TRUE,1,"no, I didn't, you made it."
4,172,made,7,made,5,3,CHILD,TRUE,Thomas,5,g,5336,right,right,TRUE,1,"no, I didn't, you made it."
4,425,it.,7,made,6,3,CHILD,TRUE,Thomas,5,g,5336,right,right,TRUE,1,"no, I didn't, you made it."
4,597,"well,",7,NULL,1,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,231,you,7,NULL,2,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,189,make,7,NULL,3,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,197,the,7,NULL,4,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,616,next,7,NULL,5,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,191,one,7,NULL,6,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,185,and,7,NULL,7,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,201,I'll,7,NULL,8,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,179,slot,7,NULL,9,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,217,it,7,NULL,10,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,194,in,7,NULL,11,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,197,the,7,NULL,12,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,186,top.,7,NULL,13,4,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,"well, you make the next one and I'll slot it in the top."
4,612,no.,7,NULL,1,5,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,no.
4,404,no?,7,NULL,1,6,MOTHER,FALSE,Thomas,5,g,5336,right,right,TRUE,1,no?
4,445,no.,7,NULL,1,7,CHILD,FALSE,Thomas,5,g,5336,right,right,TRUE,1,no.
9,754,she,8,NA,1,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,262,had,8,NULL,2,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,269,to,8,NULL,3,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,244,go,8,NULL,4,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,223,to,8,NULL,5,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,193,the,8,NULL,6,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,206,shop,8,NULL,7,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,199,and,8,NULL,8,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,216,buy,8,NULL,9,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,208,another,8,NULL,10,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,222,"one,",8,NULL,11,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,214,didn't,8,NULL,12,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,223,she?,8,NULL,13,1,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"she had to go to the shop and buy another one, didn't she?"
9,565,then,8,sold,1,2,CHILD,TRUE,Thomas,6,g,2422,right,right,TRUE,1,then they said they sold them.
9,191,they,8,sold,2,2,CHILD,TRUE,Thomas,6,g,2422,right,right,TRUE,1,then they said they sold them.
9,175,said,8,sold,3,2,CHILD,TRUE,Thomas,6,g,2422,right,right,TRUE,1,then they said they sold them.
9,191,they,8,sold,4,2,CHILD,TRUE,Thomas,6,g,2422,right,right,TRUE,1,then they said they sold them.
9,165,sold,8,sold,5,2,CHILD,TRUE,Thomas,6,g,2422,right,right,TRUE,1,then they said they sold them.
9,201,them.,8,sold,6,2,CHILD,TRUE,Thomas,6,g,2422,right,right,TRUE,1,then they said they sold them.
9,562,and,8,NULL,1,3,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,and they didn't sell them.
9,191,they,8,NULL,2,3,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,and they didn't sell them.
9,177,didn't,8,NULL,3,3,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,and they didn't sell them.
9,197,sell,8,NULL,4,3,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,and they didn't sell them.
9,157,them.,8,NULL,5,3,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,and they didn't sell them.
9,573,no.,8,NULL,1,4,CHILD,FALSE,Thomas,6,g,2422,right,right,TRUE,1,no.
9,579,I,8,NULL,1,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,369,think,8,NULL,2,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,212,her,8,NULL,3,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,200,nephew,8,NULL,4,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,196,sent,8,NULL,5,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,208,her,8,NULL,6,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,222,a,8,NULL,7,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,236,teapot,8,NULL,8,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,220,in,8,NULL,9,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,232,the,8,NULL,10,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,235,post,8,NULL,11,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,234,for,8,NULL,12,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,235,a,8,NULL,13,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,217,birthday,8,NULL,14,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,219,present,8,NULL,15,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,241,and,8,NULL,16,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,202,she,8,NULL,17,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
9,204,was,8,NULL,18,5,MOTHER,FALSE,Thomas,6,g,2422,right,right,TRUE,1,"I think her nephew sent her a teapot in the post for a birthday present and she was really proud of it, wasn't she?"
